,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
745,B.Tech,Computer Science ,Financial Analysis;Research;Technology;Web Designing;Data analytics;Game industry,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java;Cloud Computing;Architecture,80.085
746,Bachelor of journalism,Mass communication,News Coverage;Technology;Content Writing;Govt. Job;Game industry;Digital marketing;Social media marketing,Active Listening;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Writing skills;Social Media Marketing;Content creation;Medical knowledge;Java;Cloud Computing;Architecture;Hospitality;HR;Good communication skills,78
747,BE,Computer engineering,Technology;Data analytics;Data scientist,Programming Language skills;Analytical Skills;Communication skills;Leadership;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Wealth Management;Presentation Skills;R;Python;Artificial Intelligence;SQL;Cloud Computing;MATLAB;Client management;Good communication skills,66.975
748,B.E,Mechanical Engineering,"Financial Analysis, Social Justice, Trading, Entrepreneurship","Active Listening, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Communication Skills, Team work, Excel",68.875
749,B.Tech,Genetic Engineering,"Research,Understand human body,BioTechnology","Life science molecular Biology genetics;
Polymerase Chain Reaction (PCR);
Protein Expression;
Biochemistry
·",66.595
750,B.Tech,Computer Science Engineering,"Data analytics,Machine Learning,Cloud computing",Amazon Web Services (AWS)SQL;Java,81.7
751,MBA,Hospital administration,Financial Analysis;Sales/Marketing;Supply Chain Analysis,Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Good communication skills,70
752,B.Pharm,Sales & Marketing,Sales/Marketing,"People Management, Communication Skills, Negotiation Skills",66.5
753,BBA, Management,Sales/Marketing;SAP Consultant in MM;Product Life cycle Management,Leadership;Risk management skills;Wealth Management;Client management,67.545
754,B.Com,Commerce ,Web Designing;Data analytics;Game industry;Digital marketing;Data scientist,Editing;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,72
755,B.Com,Commerce ,Research;Sales/Marketing;Teaching;Technology;Trading;Web Designing;Data analytics;Game industry;Digital marketing;Data scientist,Editing;Problem Solving skills;Risk management skills;Designing skills;C++;R;Python;SQL,72
756,Commercial Art Visual art,Architecture,Research,Architecture,60
757,B.Tech,Information Technology,Technology;Understand human behaviour;Data analytics;Web development,Hardware skills;Programming Language skills;Gathering Information;Artistic/Creative Skills;Java;HR,82.65
758,B.Com,Finance,Financial Analysis;Sports Industry,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;Finance related skills;Mass Communication;Problem Solving skills;Risk management skills;Social Media Marketing,60
759,B.Tech,Civil Engineering,Financial Analysis;Govt. Job;Project Management,Project management,72.2
760,B.Tech,Electrical and Electronics Engineering,"Technology,Entrepreneurship","Creativity Skills,Leadership,Market Study, Teamwork, Programming",71.25
761,B.Sc,Physics,Govt. Job,Artistic/Creative Skills;Editing;Social Media Marketing,70
762,B.Tech,Maths ,Financial Analysis;Teaching;Understand human behaviour,Accounting Skills;Business Knowledge,63.65
763,B.Tech,Computer Science Engineering,Financial Analysis;Game industry,Active Listening;Programming Language skills;People management;Communication skills;Product knowledge;Linux;Java,70.7
764,B.Com,Mathematics ,Sales/Marketing;Trading;Understand human behaviour,Artistic/Creative Skills;Analytical Skills;Editing;Writing skills,60
765,BE,Dynamics of machine,Technology;Trading;Product Life cycle Management,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Client management;Good communication skills,76
766,BCA,Coding ,Game industry;Design;Navy Defence related,Artistic/Creative Skills;Editing;Designing skills;Python;Good communication skills,78
767,BBA,business administration,Market reserach;Human Resource,HR,80.75
768,B.Tech,Instrumention Engineering,Entrepreneurship,Writing,60.895
769,B.Com,Accountancy & Finance,Financial Analysis,ACCOUNTANCY; FINANCIAL MANAGEMENT; COST ACCOUNTANCY; TAXATION,72.58
770,B.Com,Marketing,News Coverage;Research;Social Justice;Technology;Understand human behaviour;Govt. Job;Digital marketing,Active Listening;Gathering Information;Artistic/Creative Skills;Communication skills;Negotiation skills;Medical knowledge,58
771,B.Tech,Electrical and Electronics Engineering,Technology;Trading;Data scientist,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Mass Communication,67
772,B.Tech,Electrical and electronic Engineering,Technology;Trading;Govt. Job;Infrastructure;Social causes,Critical Thinking;Business Knowledge;Analytical Skills;Risk management skills,63
773,B.Tech,Electronics and Communication Engineering,Financial Analysis;Technology;Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,80
774,B.Tech,Electronics and Communication Engineering,Financial Analysis;Technology;Data analytics,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL,80
775,B.Sc,Computer Science Engineering,"Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","Python, Java, SQL, Oracle, Programming, Logical Skills, C++, Writing, Sales",71
776,B.Tech,Electronics and communication Engineering,"Research, Technology, Entrepreneurship","Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Designing Skills, Subject Knowledge",81.13
777,B.Tech,Electrical and Electronics Engineering,Software Job,NO,73.15
778,B.E ,Automobile Engineering,Entrepreneurship,"Business Knowledge, Sales",65.55
779,B.Tech,Computer Science Engineering,Technology,Programming Language skills;SQL;Java;Good communication skills,64
780,BE,Electronics and Communication Engineering,Research;Social Justice;Teaching;Technology;Web Designing;Content Writing;Data analytics;Game industry;Data scientist;Market reserach;Gardening,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;SQL;Java;Hospitality;HR;MATLAB;Good communication skills,75
781,BE,Electronics n Telecommunication,Financial Analysis;Data analytics,Programming Language skills;Critical Thinking;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills;Presentation Skills;Python;Artificial Intelligence;Good communication skills;Teaching,67
782,BE,Electrical and Electronics Engineering,Technology,"SQL, Excel, Writing, Reporting, Reading, Building Rapport, Subject Knowledge",86.45
783,BE,Mechanical Engineering,Technology,Analytical Skills;Leadership;Product knowledge;Designing skills;Python,71.98
784,M.Tech,Computer Science Engineering,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Machine Learning skills;Python;SQL;Cloud Computing,76.95
785,B.Tech,Computer Science Engineering,Technology;Data analytics,Programming Language skills;Analytical Skills;Machine Learning skills;Python,79
786,B.Tech,Electrical and Electronics Engineering,Social Justice;Technology;Understand human behaviour;Data analytics;Game industry,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Python;Artificial Intelligence;SQL;Cloud Computing;MATLAB,83.695
787,BALLB,Law,Litigation & Legal service,Civil & Criminal Law,67.64
788,BE,Mechanical Engineering,Technology;Data analytics;Data scientist;Oil and Gas,Programming Language skills;Product knowledge;Risk management skills;Machine Learning skills;Python;Excel,64.81
789,B.Tech,Mechanical Engineering,Research;Technology,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),85.025
790,B.Tech,Mechanical Engineering,Technology,NO,76
791,B.Tech,Chemical Engineering,Industires,Problem Solving skills;Process Safety Management,78.85
792,B.Tech,Bcom-Accounting,"Financial Analysis,Financial Law",Teamwork ;accounting ;business strategy; Team Management ;Marketing; strategic planning; financial analysis ;management; consulting ;budgeting; financial modelling;financial accounting ;Business Development ;corporate finance; financial reporting ;financial planning ;forecasting ;financial forecasting; financial metrics;accounts receivable; back reconciliation; business planning; business management; business analysis; managerial finance; financial structuring,66.5
793,BBA,Sales & Marketing,"Sales/Marketing, Trading, Entrepreneurship","Active Listening, Critical Thinking, Gathering Informing, Business Knowledge, Leadership, Team work",75.05
794,Master of journalism,Political science,News Coverage;Research;Content Writing;Govt. Job,Artistic/Creative Skills;People management;Communication skills;Mass Communication;Editing;Writing skills,58.5
795,BBA ,Accountancy,Financial Analysis,"Accounting Skills, Python, Analytic Thinking, Gathering Informing, Business Knowledge, Cost Accounting, Sales",87.21
796,B.E,Automobile Engineering,"News Coverage, Research, Sales/Marketing, Entrepreneurship","Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Cost Accounting, Wealth Management, Observation Skills, Risk Managing",76
797,BE,Automobile Engineering,Technology,Team work,79.8
798,BCA ,Computer Applications,"Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Critical Thinking, Gathering Informing, Java, Editing, Creativity Skills, Team work, Interpersonal Skills, Building Rapport",66
799,B.Sc,Agriculture,"Research, Teaching","Python, Excel, Presentation Skills, Writing, Subject Knowledge",86
800,BE,Mechanical Engineering,Industires;Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),86.45
801,B.Arch,ArchitectureÃŠ,"Research, Sales/Marketing, Understand Human Behaviour, Architecture and construction ","Active Listening, AI, Critical Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Product Knowledge, Designing Skills, Architecture and Construction ",71.25
802,B.Sc,Mathematics ,Financial Analysis;Research;Technology;Supply Chain Analysis,Critical Thinking;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,76
803,B.Sc,Mathematics,"Financial Analysis, Technology","AI, ML, Python, Analytic Thinking, Tableau",80
804,B.Sc,Mathematics,Teaching;Data analytics,Programming Language skills;Analytical Skills;Artificial Intelligence;SQL,60
805,B.Tech,Mechanical Engineering,Technology,"SQL, Oracle, Work under Pressure, Leadership, Editing, Cost Accounting, Creativity Skills, Market Study, Team work, Excel, Linux, Ccna",72.2
806,BA,Political Science,"Financial Analysis, Sales/Marketing, Trading","Accounting Skills, Gathering Informing, Business Knowledge, People Management",53.2
807,B.Tech,Mechanical Engineering,Technology,"Analytic Thinking, Negotiation Skills, Team work",77
808,BE,Mechanical Engineering,Financial Analysis;Data analytics;Data scientist,Active Listening;Programming Language skills;Business Knowledge;Analytical Skills;Product knowledge;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL;Java,62.13
